Names;lastNames;email;password;alergias;numero_alergias
Juan;Gómez;juangomez1@example.com;Abc123!@;Huevo;1
María;García;mariagarcia2@example.com;Def456$#;Cacahuetes;1
Carlos;Hernández;carloshernandez3@example.com;Ghi789?&;Nueces;1
Laura;López;lauralopez4@example.com;Jkl012.@#;Almendras;1
Pedro;Martínez;pedromartinez5@example.com;Mno345?&$;Soya;1
Ana;Rodríguez;anarodriguez6@example.com;Pqr678!@#;Pescado;1
Luis;Torres;luistorres7@example.com;Stu901.?&$;Mariscos;1
Andrea;Hernández;andreahernandez8@example.com;Vwx234@#$;Huevo;1
Gabriel;González;gabrielgonzalez9@example.com;Yz01.?&$#;Soya;1
Sofía;Rodríguez;sofia.rodriguez10@example.com;Abc123!@;Pescado;1
Diego;Gómez;diegogomez11@example.com;Def456$#;Mariscos;1
Valentina;López;valentinalopez12@example.com;Ghi789?&;Huevo;1
Andrés;Torres;andrestorres13@example.com;Jkl012.@#;Soya;1
Camila;Hernández;camilahernandez14@example.com;Mno345?&$;Pescado;1
Javier;García;javiergarcia15@example.com;Pqr678!@#;Mariscos;1
Daniela;López;danielalopez16@example.com;Stu901.?&$;Huevo;1
Eduardo;González;eduardogonzalez17@example.com;Vwx234@#$;Soya;1
Valeria;Martínez;valeriamartinez18@example.com;Yz01.?&$#;Pescado;1
Alejandro;Rodríguez;alejandrorodriguez19@example.com;Abc123!@;Mariscos;1
Carolina;Gómez;carolinagomez20@example.com;Def456$#;Huevo;1
Javier;García;javiergarcia21@example.com;Abc123!@#;Gluten;1
Daniela;Martínez;danielamartinez22@example.com;Def456$#;Lactosa;1
Carlos;Gómez;carlosgomez23@example.com;Ghi789?&;Cacahuetes;1
María;Hernández;mariahernandez24@example.com;Jkl012.@#;Nueces;1
Andrés;González;andresgonzalez25@example.com;Mno345?&$;Almendras;1
Laura;Torres;lauratorres26@example.com;Pqr678!@#;Soya;1
Gabriela;López;gabrielalopez27@example.com;Stu901.?&$;Pescado;1
Sergio;Rodríguez;sergiorodriguez28@example.com;Vwx234@#$;Mariscos;1
Valeria;García;valeriagarcia29@example.com;Yz01.?&$#;Huevo;1
Manuel;Hernández;manuelhernandez30@example.com;Abc123!@;Cacahuetes;1
Sara;Martínez;saramartinez31@example.com;Def456$#;Nueces;1
Gonzalo;Gómez;gonzalogomez32@example.com;Ghi789?&;Almendras;1
